question,answer,helper,semestr,images
1. Сформулировать определение первообразной и неопределённого интеграла.,"Функцию F(x) назовем первообразной функции f(x), если для ее F’(x)=f(x) в каждой точке x 

∈ Х (Х — промежуток )",,2,
2. Сформулировать основные свойства первообразной и неопределённого интеграла.,"Для первообразной:
если F1(x) и F2(x) – две первообразных ф-и f(x), то F1(x)-F2(x) = const,  ∀ x ∈ X {br}
Для неопределённого интеграла:{br}
1.  ∫ kf(x)dx=k∫ f(x)dx{br}
2. ∫ (f(x)+g(x))dx= ∫ f(x)dx + ∫ g(x)dx {br}",,2,
3. Сформулировать теорему о замене переменной.,"Пусть g(t) дифференцируема на промежутке T. Мн-во значений g(t) – промежуток Х. На Х задана f(x) и F(x) – её первообразная.
Тогда F(g(t)) – первообразная для функции f(g(t))*g’(t)
∫f(x)dx=F(x)+c =>  ∫f(g(t))*g’(t)dt=F(g(t))+C",,2,
4. Сформулировать теорему об интегрировании по частям.,"(f(x)*g(x))’ = f’(x)*g(x)+f(x)*g’(x)
умножим на dx и проинтегрируем
(f*g)’dx = (f’*g)dx+(f*g’)dx{br}
∫ (f(x)*g(x))’dx=∫ (f’(x)*g(x))dx+∫ (f(x)*g’(x))dx{br}
∫ (f’(x)*g(x))dx = f(x)*g(x)-∫ (f(x)*g’(x))dx – формула интегрирования по частям{br}",,2,
5. Интегрирование рациональных дробей. Интегрирование простейших дробей. Определение коэффициентов.,"1 шаг: знаменатель раскладываем на множители{br}
2 шаг: дробь раскладываем в сумму простейших дробей{br}
A/(x-a); B/(x-a)k(k!=1); Mx+N/(x2+px+q);Mx+N/(x2+px+q)k{br}
3 шаг: найти коэф-ты разложения{br}
4 шаг: проинтегрировать простейшую дробь{br}",,2,
6. Сформулируйте определение интегральной суммы,"Пусть f определена и ограничена на [a,b] a= x0<x1<x2...<xn<b разбиение отрезка [a,b] обозначим L обозначим Δ xi = xi-xi-1 – длина кусочка [xi-1,xi]
max Δ xi=λ(Т) — мелкость разбиения 1<=i<=n
На каждом отрезке [xi-1,xi] выберем точки Зi, 1<=i<=n
Вычислим f(Зi), 1<=i<=n ∑ (от i=1 до n) f(Зi)* Δ xi – интегральная сумма Римана обозначается δ (L, З)",,2,
7. Сформулируйте определение предела интегральных сумм при стремлении диаметра разбиения к нулю.,"Если существует lim(λ(Т)→0) δ (L, З) при мелкости разбиения стремящейся к 0, и он не зависит ни от способа разбиения, ни от выбора точек З, то назовем его определенным интегралом Римана и обозначим Y
∃  lim δ (L, З)=Y <=> ∀E>0, ∃ δ>0, ∀L,  λ(L)< δ,  ∀З выполнено неравенство |δ (E, З)-Y|<E",,2,
"8. Сформулируйте определение нижней суммы Дарбу, верхней суммы Дарбу","{darby-up} — верхняя сумма Дарбу , где М=sup f на [xi-1,xi]{br} {darby-down} — нижняя сумма Дарбу , где m= inf f на [xi-1,xi]",,2,"{
  ""darby-up"": [
    ""<img src='/web/images/darby-up.jpg'>""
  ],
   ""darby-down"": [
    ""<img src='/web/images/darby-down.jpg'>""
  ]
}"
"9. Сформулируйте теорему о необходимом и достаточном условии интегрируемости функции f (x) на сегменте [a,b] .","Для того чтобы ограниченная на некотором отрезке функция была интегрируема на нем, необходимо и достаточно, чтобы разность верхних и нижних сумм Дарбу стремилась к нулю, когда мелкость разбиений отрезка стремится к нулю",,2,
10. Запишите формулу среднего значения и сформулируйте достаточные условия ее применимости.,{average-value},,2,"  {""average-value"": [
    ""<img src='/web/images/average-value.jpg'>""
  ]
}"
11. Сформулируйте определение интеграла с переменным верхним пределом.,"Пусть f интегрируема на [a,b] => она интегрируема на [a,x], где х - ∀ точка из [a,b]
F(x)= ∫ (от a до х) f(t)dt",,2,
12. Сформулируйте теорему о непрерывности интеграла с переменным верхним пределом.,"Если f(x) интегрируема на [a,b], то ф-я F(x) непрерывна на [a,b]",,2,
13. Сформулируйте теорему о дифференцируемости интеграла с переменным верхним пределом.,"Если f(x) непрерывная на [a,b], то F(x) дифференцируемая на [a,b] и F’(x)=f(x)",,2,
14. Запишите формулу Ньютона – Лейбница и сформулируйте достаточные условия ее применимости.,{newton-leib} {br} Для применения формулы Ньютона-Лейбница нам достаточно знать одну из первообразных y=F(x) подынтегральной функции y=f(x) на отрезке [a; b] и вычислить приращение этой первообразной на этом отрезке. ,,2,"  {""newton-leib"": [
    ""<img src='/web/images/newton-leib.jpg'>""
  ]
}"
15. Запишите формулу замены переменной и сформулируйте достаточные условия ее применимости.,"{change-var} {br} достаточно убедиться, что дифференциалы обеих ее частей равны. ",,2,"  {""change-var"": [
    ""<img src='/web/images/change-var.jpg'>""
  ]
}"
16. Запишите формулу интегрирования по частям и сформулируйте достаточные условия ее применимости.,∫ (от а до b) u*v’dx=uv|(от а до b)  - ∫ (от а до b) v*u’dx {br} достаточные условия: u и v – непрерывно дифференцируемые функции,,2,
"19. Запишите формулу для вычисления длины дуги кривой, заданной параметрически.",{criv-length},,2,"  {""criv-length"": [
    ""<img src='/web/images/criv-length.jpg'>""
  ]
}"
"20. Запишите формулу для вычисления длины дуги кривой, заданной уравнением y = f (x), a ≤ x ≤ b .",{criv-length-f},,2,"  {""criv-length-f"": [
    ""<img src='/web/images/criv-length-f.jpg'>""
  ]
}"
